2022-04-22 00:28:51,639 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2022-04-22 00:29:49,791 [Worker-2: Creating project "thematic-web"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.hcmuaf:thematic-web:1.0 @ E:\XI_2\Thematic_web\workspace\thematic-web\pom.xml.
2022-04-22 00:29:56,530 [Worker-2: Creating project "thematic-web"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /thematic-web/src/main/java
2022-04-22 00:29:56,549 [Worker-2: Creating project "thematic-web"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /thematic-web/src/main/resources
2022-04-22 00:29:56,553 [Worker-2: Creating project "thematic-web"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /thematic-web/src/test/java
2022-04-22 00:29:56,554 [Worker-2: Creating project "thematic-web"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /thematic-web/src/test/resources
2022-04-22 00:30:12,005 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-22 00:30:12,090 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-22 00:30:12,100 [Worker-0: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-22 00:30:12,104 [Worker-0: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-22 00:32:25,199 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-22 00:32:25,208 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-22 00:32:25,247 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-22 00:32:25,257 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-22 00:32:36,642 [Worker-6: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2022-04-22 00:32:39,396 [Worker-6: Updating Maven Project] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.hcmuaf:thematic-web:1.0 @ E:\XI_2\Thematic_web\workspace\thematic-web\pom.xml.
2022-04-22 00:32:44,217 [Worker-6: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /thematic-web/src/main/java
2022-04-22 00:32:44,219 [Worker-6: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /thematic-web/src/main/resources
2022-04-22 00:32:44,222 [Worker-6: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /thematic-web/src/test/java
2022-04-22 00:32:44,223 [Worker-6: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /thematic-web/src/test/resources
2022-04-22 00:32:46,356 [Worker-6: Updating Maven Project] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for thematic-web
2022-04-22 00:32:46,403 [Worker-6: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 9 sec
2022-04-22 00:32:47,240 [Worker-9: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-22 00:32:47,348 [Worker-9: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-22 00:32:47,357 [Worker-9: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-22 00:32:47,368 [Worker-9: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2022-04-22 00:32:47,369 [Worker-9: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of thematic-web
2022-04-22 00:32:47,379 [Worker-9: Building workspace] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for thematic-web
2022-04-22 00:32:47,506 [Worker-9: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-22 00:33:21,795 [Worker-10: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: edu.hcmuaf:thematic-web:1.0 @ E:\XI_2\Thematic_web\workspace\thematic-web\pom.xml.
2022-04-22 00:33:24,996 [Worker-10: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2022-04-22 00:33:25,009 [Worker-10: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
